Timestamp,Trend Flags,Status,Value (°C)
07-Jan-25 2:00:01 PM WEST,{ },{ok},21.9
07-Jan-25 2:15:00 PM WEST,{ },{ok},21.9
07-Jan-25 2:30:01 PM WEST,{ },{ok},21.6
07-Jan-25 2:45:01 PM WEST,{ },{ok},19.3
07-Jan-25 3:00:01 PM WEST,{ },{ok},18.7
07-Jan-25 3:15:01 PM WEST,{ },{ok},18.5
07-Jan-25 3:30:02 PM WEST,{ },{ok},18.5
07-Jan-25 3:45:01 PM WEST,{ },{ok},18.6
07-Jan-25 4:00:01 PM WEST,{ },{ok},18.8
07-Jan-25 4:15:01 PM WEST,{ },{ok},18.8
07-Jan-25 4:30:01 PM WEST,{ },{ok},19.0
07-Jan-25 4:45:01 PM WEST,{ },{ok},19.0
07-Jan-25 5:00:01 PM WEST,{ },{ok},18.9
07-Jan-25 5:15:01 PM WEST,{ },{ok},18.8
07-Jan-25 5:30:01 PM WEST,{ },{ok},18.7
07-Jan-25 5:45:00 PM WEST,{ },{ok},18.8
07-Jan-25 6:00:01 PM WEST,{ },{ok},18.8
07-Jan-25 6:15:01 PM WEST,{ },{ok},18.8
07-Jan-25 6:30:02 PM WEST,{ },{ok},18.8
07-Jan-25 6:45:01 PM WEST,{ },{ok},18.8
07-Jan-25 7:00:01 PM WEST,{ },{ok},18.8
07-Jan-25 7:15:01 PM WEST,{ },{ok},18.6
07-Jan-25 7:30:01 PM WEST,{ },{ok},18.4
07-Jan-25 7:45:01 PM WEST,{ },{ok},18.3
07-Jan-25 8:00:01 PM WEST,{ },{ok},18.4
07-Jan-25 8:15:01 PM WEST,{ },{ok},18.5
07-Jan-25 8:30:02 PM WEST,{ },{ok},20.4
07-Jan-25 8:45:01 PM WEST,{ },{ok},21.4
07-Jan-25 9:00:01 PM WEST,{ },{ok},22.0
07-Jan-25 9:15:01 PM WEST,{ },{ok},22.0
07-Jan-25 9:30:01 PM WEST,{ },{ok},21.9
07-Jan-25 9:45:01 PM WEST,{ },{ok},21.7
07-Jan-25 10:00:01 PM WEST,{ },{ok},21.6
07-Jan-25 10:15:01 PM WEST,{ },{ok},21.7
07-Jan-25 10:30:01 PM WEST,{ },{ok},21.7
07-Jan-25 10:45:01 PM WEST,{ },{ok},21.7
07-Jan-25 11:00:01 PM WEST,{ },{ok},21.8
07-Jan-25 11:15:01 PM WEST,{ },{ok},21.8
07-Jan-25 11:30:01 PM WEST,{ },{ok},21.6
07-Jan-25 11:45:01 PM WEST,{ },{ok},21.6
08-Jan-25 12:00:01 AM WEST,{ },{ok},21.7
08-Jan-25 12:15:00 AM WEST,{ },{ok},21.8
08-Jan-25 12:30:02 AM WEST,{ },{ok},21.8
08-Jan-25 12:45:02 AM WEST,{ },{ok},21.6
08-Jan-25 1:00:01 AM WEST,{ },{ok},21.5
08-Jan-25 1:15:01 AM WEST,{ },{ok},21.5
08-Jan-25 1:30:01 AM WEST,{ },{ok},20.5
08-Jan-25 1:45:01 AM WEST,{ },{ok},19.7
08-Jan-25 2:00:01 AM WEST,{ },{ok},19.1
08-Jan-25 2:15:01 AM WEST,{ },{ok},19.2
