Timestamp;Trend Flags;Status;Value (kW)
24-Dec-24 5:45:01 PM WEST;{ };{ok};13.8
24-Dec-24 6:00:00 PM WEST;{ };{ok};13.1
24-Dec-24 6:15:00 PM WEST;{ };{ok};10.0
24-Dec-24 6:30:00 PM WEST;{ };{ok};9.8
24-Dec-24 6:45:01 PM WEST;{ };{ok};9.5
24-Dec-24 7:00:00 PM WEST;{ };{ok};12.9
24-Dec-24 7:15:01 PM WEST;{ };{ok};12.9
24-Dec-24 7:30:00 PM WEST;{ };{ok};10.0
24-Dec-24 7:45:00 PM WEST;{ };{ok};9.9
24-Dec-24 8:00:00 PM WEST;{ };{ok};10.1
24-Dec-24 8:15:01 PM WEST;{ };{ok};13.1
24-Dec-24 8:30:01 PM WEST;{ };{ok};13.2
24-Dec-24 8:45:00 PM WEST;{ };{ok};10.2
24-Dec-24 9:00:00 PM WEST;{ };{ok};9.9
24-Dec-24 9:15:01 PM WEST;{ };{ok};13.1
24-Dec-24 9:30:00 PM WEST;{ };{ok};10.1
24-Dec-24 9:45:00 PM WEST;{ };{ok};9.9
24-Dec-24 10:00:01 PM WEST;{ };{ok};9.8
24-Dec-24 10:15:00 PM WEST;{ };{ok};13.5
24-Dec-24 10:30:01 PM WEST;{ };{ok};13.4
24-Dec-24 10:45:00 PM WEST;{ };{ok};9.7
24-Dec-24 11:00:00 PM WEST;{ };{ok};9.7
24-Dec-24 11:15:00 PM WEST;{ };{ok};13.4
24-Dec-24 11:30:00 PM WEST;{ };{ok};12.8
24-Dec-24 11:45:00 PM WEST;{ };{ok};9.5
25-Dec-24 12:00:00 AM WEST;{ };{ok};10.0
25-Dec-24 12:15:00 AM WEST;{ };{ok};10.6
25-Dec-24 12:30:00 AM WEST;{ };{ok};10.0
25-Dec-24 12:45:01 AM WEST;{ };{ok};9.4
25-Dec-24 1:00:01 AM WEST;{ };{ok};9.2
25-Dec-24 1:15:00 AM WEST;{ };{ok};8.8
25-Dec-24 1:30:00 AM WEST;{ };{ok};8.6
25-Dec-24 1:45:00 AM WEST;{ };{ok};12.0
25-Dec-24 2:00:00 AM WEST;{ };{ok};12.0
25-Dec-24 2:15:00 AM WEST;{ };{ok};11.8
25-Dec-24 2:30:00 AM WEST;{ };{ok};11.9
25-Dec-24 2:45:01 AM WEST;{ };{ok};12.0
25-Dec-24 3:00:01 AM WEST;{ };{ok};8.6
25-Dec-24 3:15:01 AM WEST;{ };{ok};11.7
25-Dec-24 3:30:00 AM WEST;{ };{ok};8.6
25-Dec-24 3:45:00 AM WEST;{ };{ok};8.7
25-Dec-24 4:00:00 AM WEST;{ };{ok};8.6
25-Dec-24 4:15:00 AM WEST;{ };{ok};8.6
25-Dec-24 4:30:00 AM WEST;{ };{ok};11.7
25-Dec-24 4:45:00 AM WEST;{ };{ok};8.6
25-Dec-24 5:00:01 AM WEST;{ };{ok};8.6
25-Dec-24 5:15:00 AM WEST;{ };{ok};8.6
25-Dec-24 5:30:01 AM WEST;{ };{ok};8.6
25-Dec-24 5:45:01 AM WEST;{ };{ok};11.7
25-Dec-24 6:00:00 AM WEST;{ };{ok};8.6
25-Dec-24 6:15:00 AM WEST;{ };{ok};12.2
25-Dec-24 6:30:01 AM WEST;{ };{ok};9.1
25-Dec-24 6:45:00 AM WEST;{ };{ok};9.1
25-Dec-24 7:00:01 AM WEST;{ };{ok};9.3
25-Dec-24 7:15:00 AM WEST;{ };{ok};9.2
25-Dec-24 7:30:01 AM WEST;{ };{ok};9.2
25-Dec-24 7:45:01 AM WEST;{ };{ok};12.4
25-Dec-24 8:00:01 AM WEST;{ };{ok};9.3
25-Dec-24 8:15:01 AM WEST;{ };{ok};9.5
25-Dec-24 8:30:01 AM WEST;{ };{ok};9.5
25-Dec-24 8:45:01 AM WEST;{ };{ok};9.5
25-Dec-24 9:00:01 AM WEST;{ };{ok};9.3
25-Dec-24 9:15:00 AM WEST;{ };{ok};12.3
25-Dec-24 9:30:01 AM WEST;{ };{ok};9.4
25-Dec-24 9:45:00 AM WEST;{ };{ok};12.8
25-Dec-24 10:00:00 AM WEST;{ };{ok};9.4
25-Dec-24 10:15:01 AM WEST;{ };{ok};12.8
25-Dec-24 10:30:00 AM WEST;{ };{ok};9.6
25-Dec-24 10:45:00 AM WEST;{ };{ok};13.0
25-Dec-24 11:00:00 AM WEST;{ };{ok};9.7
25-Dec-24 11:15:01 AM WEST;{ };{ok};9.7
25-Dec-24 11:30:01 AM WEST;{ };{ok};10.7
25-Dec-24 11:45:01 AM WEST;{ };{ok};9.8
25-Dec-24 12:00:01 PM WEST;{ };{ok};12.9
25-Dec-24 12:15:01 PM WEST;{ };{ok};10.8
25-Dec-24 12:30:01 PM WEST;{ };{ok};10.5
25-Dec-24 12:45:01 PM WEST;{ };{ok};9.7
25-Dec-24 1:00:00 PM WEST;{ };{ok};12.9
25-Dec-24 1:15:00 PM WEST;{ };{ok};13.9
25-Dec-24 1:30:00 PM WEST;{ };{ok};10.0
25-Dec-24 1:45:00 PM WEST;{ };{ok};10.6
25-Dec-24 2:00:00 PM WEST;{ };{ok};13.6
25-Dec-24 2:15:01 PM WEST;{ };{ok};13.9
25-Dec-24 2:30:00 PM WEST;{ };{ok};9.5
25-Dec-24 2:45:01 PM WEST;{ };{ok};10.2
25-Dec-24 3:00:00 PM WEST;{ };{ok};10.3
25-Dec-24 3:15:01 PM WEST;{ };{ok};14.3
25-Dec-24 3:30:00 PM WEST;{ };{ok};10.1
25-Dec-24 3:45:00 PM WEST;{ };{ok};10.7
25-Dec-24 4:00:00 PM WEST;{ };{ok};10.3
25-Dec-24 4:15:01 PM WEST;{ };{ok};9.7
25-Dec-24 4:30:00 PM WEST;{ };{ok};10.2
25-Dec-24 4:45:01 PM WEST;{ };{ok};9.9
25-Dec-24 5:00:00 PM WEST;{ };{ok};9.5
25-Dec-24 5:15:00 PM WEST;{ };{ok};10.1
